uniqueID,site,date,timeEST,flowSensor,precipETI
RG11_20160322_0825,RG11,3/22/16,8:25,,
RG11_20160330_0800,RG11,3/30/16,8:00,,
RG11_20160405_1145,RG11,4/5/16,11:45,,
RG11_20160413_1130,RG11,4/13/16,11:30,,
RG11_20160418_0925,RG11,4/18/16,9:25,,
RG11_20160425_1010,RG11,4/25/16,10:10,,
RG11_20160503_0800,RG11,5/3/16,8:00,,
RG11_20160509_0845,RG11,5/9/16,8:45,,
RG11_20160516_0935,RG11,5/16/16,9:35,,
RG11_20160523_1130,RG11,5/23/16,11:30,,
RG11_20160531_0950,RG11,5/31/16,9:50,,
RG11_20160606_1155,RG11,6/6/16,11:55,,
RG11_20160613_1030,RG11,6/13/16,10:30,,
RG11_20160620_1000,RG11,6/20/16,10:00,,
RG11_20160627_1155,RG11,6/27/16,11:55,,
RG11_20160705_0955,RG11,7/5/16,9:55,,
RG11_20160711_0925,RG11,7/11/16,9:25,,
RG11_20160717_1120,RG11,7/17/16,11:20,,
RG11_20160725_0940,RG11,7/25/16,9:40,,
RG11_20160801_0900,RG11,8/1/16,9:00,,
RG11_20160808_0950,RG11,8/8/16,9:50,,
RG11_20160815_0910,RG11,8/15/16,9:10,,
RG11_20160822_1055,RG11,8/22/16,10:55,,
RG11_20160829_1045,RG11,8/29/16,10:45,,
RG11_20160906_1010,RG11,9/6/16,10:10,,
RG11_20160912_1035,RG11,9/12/16,10:35,,
RG11_20160920_0950,RG11,9/20/16,9:50,,
RG11_20160927_0935,RG11,9/27/16,9:35,,
RG11_20161003_1025,RG11,10/3/16,10:25,,
RG11_20161011_1010,RG11,10/11/16,10:10,,
RG11_20161017_1000,RG11,10/17/16,10:00,,
RG11_20161024_0950,RG11,10/24/16,9:50,,
RG11_20161031_1015,RG11,10/31/16,10:15,,
RG11_20161107_1030,RG11,11/7/16,10:30,,
RG11_20161114_1220,RG11,11/14/16,12:20,,
RG11_20161121_1025,RG11,11/21/16,10:25,,
RG11_20161128_1000,RG11,11/28/16,10:00,,
RG11_20161205_1215,RG11,12/5/16,12:15,,
RG11_20161212_1340,RG11,12/12/16,13:40,,
RG11_20161219_1245,RG11,12/19/16,12:45,,
RG11_20161227_1210,RG11,12/27/16,12:10,,
RG11_20170102_1230,RG11,1/2/17,12:30,,
RG11_20170109_1300,RG11,1/9/17,13:00,,
RG11_20170117_1250,RG11,1/17/17,12:50,,
RG11_20170123_1155,RG11,1/23/17,11:55,,
RG11_20170130_1205,RG11,1/30/17,12:05,,
RG11_20170206_1150,RG11,2/6/17,11:50,,
RG11_20170214_1305,RG11,2/14/17,13:05,,
RG11_20170221_1200,RG11,2/21/17,12:00,,
RG11_20170228_1125,RG11,2/28/17,11:25,,
RG11_20170306_1125,RG11,3/6/17,11:25,,
RG11_20170313_1100,RG11,3/13/17,11:00,,
RG11_20170320_1110,RG11,3/20/17,11:10,,
RG11_20170328_1135,RG11,3/28/17,11:35,,
RG11_20170403_1110,RG11,4/3/17,11:10,,
RG11_20170410_0930,RG11,4/10/17,9:30,,
RG11_20170417_1005,RG11,4/17/17,10:05,,
RG11_20170424_1100,RG11,4/24/17,11:00,,
RG11_20170501_1030,RG11,5/1/17,10:30,,
RG11_20170508_0835,RG11,5/8/17,8:35,,
RG11_20170515_1050,RG11,5/15/17,10:50,,
RG11_20170523_0825,RG11,5/23/17,8:25,,
RG11_20170530_0815,RG11,5/30/17,8:15,,
STA/22_20140602_0805,STA/22,6/2/14,8:05,,11.9
STA/22_20140609_0735,STA/22,6/9/14,7:35,,0
STA/22_20140616_0755,STA/22,6/16/14,7:55,,47.5
STA/22_20140623_0700,STA/22,6/23/14,7:00,,5.8
STA/22_20140630_0715,STA/22,6/30/14,7:15,,121.7
STA/22_20140707_1250,STA/22,7/7/14,12:50,,41.9
STA/22_20140714_0715,STA/22,7/14/14,7:15,,29.5
STA/22_20140721_0640,STA/22,7/21/14,6:40,,22.4
STA/22_20140729_0730,STA/22,7/29/14,7:30,,88.4
STA/22_20140804_0750,STA/22,8/4/14,7:50,,0
STA/22_20140811_0745,STA/22,8/11/14,7:45,,3.8
STA/22_20140818_0720,STA/22,8/18/14,7:20,,74.2
STA/22_20140825_0855,STA/22,8/25/14,8:55,,3.6
STA/22_20140901_0850,STA/22,9/1/14,8:50,,4.6
STA/22_20140908_0745,STA/22,9/8/14,7:45,,19.3
STA/22_20140915_0805,STA/22,9/15/14,8:05,,14.2
