variable_code,variable_name,unit,method,variable_type,variable_subtype,R_display,valence,flux_convertible,molecule,notes
turbid,Turbidity,FNU,UNKNOWN,phys,Other,expression(UNKNOWN),NA,0,NA,NA
FDOM,Fluorescent Dissolved Organic Matter,QSU,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,NA
CO2,Carbon Dioxide,ppm,UNKNOWN,gas_PENDING,Other,expression(UNKNOWN),NA,0,NA,NA
CH4,Methane,ppm,UNKNOWN,gas_PENDING,Other,expression(UNKNOWN),NA,0,NA,NA
N2O,Nitrous Oxide,ppm,UNKNOWN,gas_PENDING,Other,expression(UNKNOWN),NA,0,NA,NA
ionError,Ion Error,%,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,NA
AnCaR,Anion-Cation Ratio,unitless,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,NA
perimeter,Perimeter,m,UNKNOWN,spatial,Other,expression(UNKNOWN),NA,0,NA,NA
TIP,Total Inorganic Phosphorus,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),1,1,P,NA
TIC,Total Inorganic Carbon,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),1,1,C,NA
DOP,Dissolved Organic Phosphorus,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),1,1,P,NA
H,Hydrogen,mg/L,UNKNOWN,chem_discrete,Cations,expression(H^'+'),1,1,NA,NA
POC,Particulate Organic Carbon,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),NA,1,C,NA
acidity,Acidity,ueq/L,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,NA
TIN,Total Inorganic Nitrogen,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),1,1,N,NA
d18O,Delta 18 Oxygen,ppt,UNKNOWN,phys,Other,expression(UNKNOWN),NA,0,O,parts per thousand
deuterium,Deuterium,unitless,UNKNOWN,phys,Other,expression(UNKNOWN),NA,0,O,ALso called H-2 or delta h2
Ecoli,Escherichia coli,#/mL,UNKNOWN,bio,Other,expression(UNKNOWN),NA,0,NA,Ecoli is generally measured in CFU/ml and PNC/ml but they are roughly comparable so we can use #/ml
Li,Lithium,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),1,1,Li,NA
SRP,Soluble Reactive Phosphorus,mg/L,UNKNOWN,chem_discrete,Anions,expression(UNKNOWN),3,1,PO4,NA
PON,Particulate Organic Nitrogen,mg/L,UNKNOWN,chem_discrete,Other,expression(UNKNOWN),NA,1,N,NA
salinity,Salinity,ppt,UNKNOWN,chem_mix,Other,expression(UNKNOWN),NA,0,NA,NA
phaeopig,Phaeopigment,mg/L,Acetone TurnerDesigns 10AU Fluorometer,bio,Other,expression(UNKNOWN),NA,0,NA,NA
B,Boron,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Anions,expression(B^'-'),1,1,B,NA
Cd,Cadmium,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Cations,expression(Cd^'+2'),2,1,Cd,NA
Cr,Chromium,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Other,expression(UNKNOWN),NA,1,Cr,"Many ion forms, not sure which to use over mean?"
Cu,Copper,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Other,expression(Cu^'+2'),2,1,Cu,NA
Pb,Lead,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Other,expression(Pb^'+4'),4,1,Pb,NA
Ni,Nickel,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Other,expression(Ni^'+2'),2,1,Ni,NA
Ni60,Nickel-60,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Other,expression(Ni^'+2'),2,1,Ni,NA
Zn,Zinc,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Other,expression(Zn^'+2'),2,1,Zn,NA
Sr,Strontium,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Other,expression(Sr^'+2'),2,1,Sr,NA
S,Sulfer,mg/L,Absorption/Emission Spectrophotometer,chem_discrete,Other,expression(UNKNOWN),6,1,S,NA
Be,Beryllium,mg/L,UNKNOWN,chem_discrete,Cations,expression(Be^'+2'),2,1,Be,NA
Ti,Titanium,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),2.5,1,Ti,NA
Ti49,Titanium-49,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),2.5,1,Ti,NA
V,Vanadium,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),NA,1,V,Not sure what valence to use
Co,Cobalt,mg/L,UNKNOWN,chem_discrete,Cations,expression(UNKNOWN),2.5,1,Co,Check valence
